"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Canada","CAN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.69970281582303","1.96510181682417","1.67277636641688","1.38768314314045","1.40457245091193","1.29610789908829","1.39294739556158","1.32185627456541","1.224174470733","1.09079943044796","0.965272163669216","1.04162374285711","1.31604671012164","0.984891978609685","1.24643900167465","1.10981844665001","0.987590799677265","1.00008506747682","0.874976927691728","0.952710284331092","0.896661905145225","1.02848796755264","0.892061268358848","0.848719703516915","0.839858692384512","0.980039675089319","0.828751256689508","0.934432290523101","0.893887665725837","0.82239023743202","0.899527558657482","",
"Central Europe and the Baltics","CEB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.50091110198166","1.25651574008153","1.21857568401953","1.23810228879665","1.15076109750699","1.11187780185194","0.868181180301297","1.08268446011794","0.81669850926498","1.03334096689784","1.06028232264178","0.999936176831131","1.33576320869973","1.06119932753021","1.02689176602277","0.994479181970596","0.990473654956801","0.678856923003736","0.647525376849276","0.688725085688879","0.655956412200991","0.573714020024116","0.419160569318679","0.779985760384962","0.578591255653921","0.715890331328363","0.591042817033003","0.468838090281807","0.651280627052988","0.600364837093311","0.619128313196376","",
"Channel Islands","CHI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00975226032435","1.09547972561965","1.32209103347141","1.21377657625681","1.15846495186192","1.1078376048551","1.31390565768919","0.418670959590445","1.21015413441877","0.698514105272728","0.838786901240396","0.973624090662144","1.13088584742238","0.989395574033629","0.988526742405851","","",
"China","CHN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.801682793852203","1.00364606601624","0.893951009479557","","","","","",
"Congo, Dem. Rep.","COD","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.933319314956","11.7964150867905","12.17357634135","11.861433527232","11.0026147635363","8.93270399180546","9.24782901174468","9.06143793682057","8.83301318870741","9.03891503336719","9.52382582181647","10.7883451701038","10.7568375111449","9.45552592893204","7.59263256426506","6.86083031037578","6.00568401903825","6.20983447674993","5.59200649700761","5.52117867173937","5.3158644603719","5.78823352602397","5.90195034991715","5.1642040980699","4.88422467233114","4.40741591471667","4.22691892549603","4.32187095840358","4.19133425036563","4.07784986098239","3.52532519483889","",
"Comoros","COM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92042257806246","4.04050024279078","2.74315093992108","5.8036733383116","2.6751251576413","","2.23986739984993","3.6914262932912","2.19058050383352","3.25061129551307","",
"Costa Rica","CRI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79590391784838","1.55710909955684","1.51297496312389","1.15073268336643","1.43863891984334","1.51623798814413","1.01934498781597","1.0518285763002","1.43730651365446","1.66336067800465","2.04155427203672","1.41486886361648","1.65822368607377","1.8193337933867","1.84050786915713","2.86452847440649","2.07642441561342","1.68401965478507","2.69455470911608","2.61537574970411","2.67005632505703","2.76712602399876","2.1360510738356","1.52007640917417","2.12901496739267","1.73390717404093","2.69531101643037","2.34369948923515","2.59977745904951","1.90097353607216","2.43229014239882","",
"Caribbean small states","CSS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.28358453998846","3.39685766535272","3.89767116918497","3.84134191857936","3.03484976488141","2.96396832808911","3.38245979349631","2.86199410429215","2.77811383993583","2.8393561911626","3.29325706505998","2.71669504991528","2.58764678692253","2.97430887595733","2.35406813062565","2.46143515481896","2.1265815785934","2.71255530155637","2.23316552098777","2.33658880338508","2.43787783794154","2.59061193954886","2.74299314708879","2.43986907557222","2.1216241190438","","","","","",
"Curacao","CUW","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.89067468347112","8.76360184035639","2.93728888236158","10.2531052261542","8.67842110592013","4.2391442580791","4.10638268749059","","","","","","","","","","","","","","",
